author_login,committer_login
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
bonzini,bonzini
bonzini,bonzini
davem330,davem330
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
jstancek,torvalds
jahogan,bonzini
jankara,tytso
yeyunfeng-dev,tytso
torvalds,torvalds
torvalds,torvalds
None,rostedt
None,rostedt
None,rostedt
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
masahir0y,masahir0y
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
mgrzeschik,davem330
torvalds,torvalds
torvalds,torvalds
geertu,davem330
liuhangbin,davem330
haiyangz,davem330
None,davem330
None,davem330
None,davem330
davem330,davem330
akiyano,davem330
akiyano,davem330
karstengr,davem330
None,davem330
achantask,davem330
xiaojiangfeng,davem330
davem330,davem330
julianwiedmann,davem330
julianwiedmann,davem330
julianwiedmann,davem330
None,axboe
chelsiocudbg,davem330
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
airlied,airlied
airlied,airlied
hdeller,hdeller
None,axboe
None,axboe
None,axboe
hdeller,hdeller
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,ctmarinas
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
andy-shev,andy-shev
metux,andy-shev
metux,andy-shev
None,andy-shev
jwrdegoede,andy-shev
lsun100,andy-shev
None,djwong
None,jgross1
None,jgross1
None,jgross1
None,jgross1
None,jgross1
nathanchance,jgross1
None,paul-walmsley-sifive
davidlt,paul-walmsley-sifive
greentime,paul-walmsley-sifive
None,paul-walmsley-sifive
davem330,davem330
dcaratti,davem330
dcaratti,davem330
None,davem330
davem330,davem330
atenart,davem330
atenart,davem330
rostedt,rostedt
quasi-mod,rostedt
davem330,davem330
borkmann,borkmann
borkmann,borkmann
None,borkmann
torvalds,torvalds
torvalds,torvalds
djwong,djwong
djwong,djwong
djwong,djwong
djwong,djwong
None,None
None,djwong
borkmann,borkmann
None,borkmann
None,borkmann
None,borkmann
None,borkmann
yangbolu1991,storulf
None,bebarino
None,bebarino
torvalds,torvalds
None,jsakkine-intel
WillLester,daeinki
None,None
davem330,davem330
None,davem330
None,davem330
None,davem330
None,davem330
None,davem330
None,davem330
None,davem330
None,davem330
None,davem330
XidianGeneral,davem330
axboe,axboe
groeck,gregkh
olofj,bebarino
isilence,axboe
torvalds,torvalds
bonzini,bonzini
None,bonzini
None,bonzini
rmurphy-arm,joergroedel
None,ctmarinas
LuBaolu,joergroedel
jerome-pouiller,gregkh
jerome-pouiller,gregkh
jerome-pouiller,gregkh
jerome-pouiller,gregkh
jerome-pouiller,gregkh
jerome-pouiller,gregkh
jerome-pouiller,gregkh
jerome-pouiller,gregkh
jerome-pouiller,gregkh
jerome-pouiller,gregkh
masahir0y,masahir0y
None,storulf
None,storulf
yangbolu1991,storulf
None,None
None,None
ickle,ickle
hogander-unikie,davem330
jahurley,davem330
bjdooks-ct,davem330
olerem,davem330
None,davem330
None,davem330
bwhacks,davem330
marceloleitner,davem330
None,None
None,None
changbindu,torvalds
yang-shi,torvalds
daxtens,torvalds
daxtens,torvalds
daxtens,torvalds
aryabinin,torvalds
paulusmack,paulusmack
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
robherring,robherring
davem330,davem330
IoanaCiornei,davem330
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
djwong,djwong
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
zx2c4,gregkh
borkmann,borkmann
rouming,axboe
asfaca,gregkh
asfaca,gregkh
None,gregkh
xiongzhongjiang,gregkh
virtuoso,gregkh
virtuoso,gregkh
virtuoso,gregkh
virtuoso,gregkh
tiwai,tiwai
None,gregkh
sudipm-mukherjee,gregkh
vingu-linaro,vingu-linaro
vingu-linaro,vingu-linaro
hnaz,hnaz
hnaz,hnaz
None,None
virtuoso,virtuoso
virtuoso,virtuoso
None,None
None,None
snits,joergroedel
snits,joergroedel
LuBaolu,joergroedel
None,None
metux,masahir0y
tchebb,masahir0y
awilliam,joergroedel
tstruk,jsakkine-intel
tstruk,jsakkine-intel
tstruk,jsakkine-intel
rmurphy-arm,joergroedel
None,joergroedel
None,jsakkine-intel
schnhrr,schnhrr
yghannam,yghannam
koct9i,koct9i
bjh83,gregkh
ian-abbott,gregkh
zeldin,mpe
davem330,davem330
arndb,davem330
fred1gao,fred1gao
snits,jsakkine-intel
torvalds,torvalds
Navidem,davem330
ffainelli,davem330
davem330,davem330
stefano-garzarella,davem330
stefano-garzarella,davem330
mikechristie,axboe
htejun,axboe
olofj,olofj
olofj,olofj
olofj,olofj
borkmann,borkmann
torvalds,torvalds
alexandrebelloni,bebarino
jankara,jankara
eauger,torvalds
torvalds,torvalds
emaste,emaste
emaste,emaste
sudipm-mukherjee,sudipm-mukherjee
tiwai,tiwai
ajdlinux,mpe
davidhildenbrand,mpe
chleroy,mpe
chleroy,broonie
mwalle,broonie
akemnade,broonie
TE-N-ShengjiuWang,broonie
Faiz-Abbas,storulf
Villemoes,storulf
ChaotianJing,storulf
None,storulf
Faiz-Abbas,storulf
pcercuei,linusw
mattrope,mattrope
mattrope,mattrope
ickle,ickle
ickle,ickle
None,None
None,jmberg
gregkh,gregkh
axboe,axboe
goldelico,ffainelli
None,tytso
phongt,tytso
tytso,tytso
torvalds,torvalds
bgianfo,axboe
torvalds,torvalds
torvalds,torvalds
svenschnelle,hdeller
svenschnelle,hdeller
None,kuba-moo
torvalds,torvalds
cristibirsan,kuba-moo
vishalsdk,kuba-moo
None,kuba-moo
None,kuba-moo
None,kuba-moo
kuba-moo,kuba-moo
TaeheeYoo,kuba-moo
TaeheeYoo,kuba-moo
TaeheeYoo,kuba-moo
TaeheeYoo,kuba-moo
None,kuba-moo
torvalds,torvalds
None,tytso
None,tytso
tytso,tytso
jankara,tytso
jankara,tytso
kuba-moo,kuba-moo
None,kuba-moo
None,kuba-moo
torvalds,torvalds
arndb,kuba-moo
arndb,kuba-moo
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
haiyangz,kuba-moo
torvalds,torvalds
None,kuba-moo
kuba-moo,kuba-moo
tiwai,tiwai
tiwai,tiwai
tiwai,tiwai
tiwai,tiwai
tiwai,tiwai
None,gabbayo
gabbayo,gabbayo
None,gregkh
masahir0y,masahir0y
masahir0y,masahir0y
masahir0y,masahir0y
tpimh,masahir0y
None,kuba-moo
None,kuba-moo
None,kuba-moo
None,kuba-moo
None,kuba-moo
None,kuba-moo
liuhangbin,kuba-moo
arndb,kuba-moo
None,kuba-moo
lmb,lmb
vivien,kuba-moo
None,kuba-moo
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
fbarrat,mpe
chleroy,mpe
olofj,olofj
asj,kdave
josefbacik,kdave
josefbacik,kdave
josefbacik,kdave
josefbacik,kdave
fdmanana,kdave
fdmanana,kdave
fdmanana,kdave
fdmanana,kdave
None,kdave
kdave,kdave
None,kdave
josefbacik,kdave
josefbacik,kdave
josefbacik,kdave
None,None
fdmanana,kdave
None,kdave
None,mpe
srikard,mpe
srikard,mpe
None,linusw
linusw,linusw
atorgue,linusw
tohojo,jmberg
None,None
None,jmberg
stbuehler,jmberg
frolswe,jmberg
jgross1,jgross1
None,jgross1
piastry,piastry
None,None
airlied,airlied
airlied,airlied
airlied,airlied
TinaZhangZW,TinaZhangZW
None,None
bebarino,bebarino
jeromebrunet,bebarino
None,robherring
robherring,robherring
None,robherring
yishaih,dledford
yishaih,dledford
ebiggers,jsakkine-intel
ebiggers,jsakkine-intel
eballetbo,bjorn-helgaas
None,None
None,None
maorgmellanox,dledford
paravmellanox,dledford
None,dledford
None,davem330
cristibirsan,davem330
torvalds,torvalds
None,None
None,None
olofj,olofj
None,None
None,None
None,axboe
None,None
tmlind,tmlind
amboar,linusw
lsgunth,axboe
None,None
None,None
None,None
None,None
None,None
None,gregkh
Leo-Yan,gregkh
None,gregkh
willdeacon,willdeacon
None,gregkh
None,gregkh
None,gregkh
krzk,gregkh
groeck,lftan
zx2c4,herbertx
airlied,airlied
davem330,davem330
axboe,axboe
airlied,airlied
cdleonard,cdleonard
torvalds,torvalds
cdleonard,cdleonard
cdleonard,cdleonard
mwalle,mwalle
djbw,djbw
DanielTimLee,DanielTimLee
torvalds,torvalds
DanielTimLee,DanielTimLee
None,None
None,None
axboe,axboe
None,djwong
None,djwong
torvalds,torvalds
torvalds,torvalds
torvalds,torvalds
None,None
None,None
None,None
None,None
None,None
None,None
heicarst,heicarst
None,None
ColinIanKing,ColinIanKing
None,None
None,liu-song-6
ZhiqiangLiu26,liu-song-6
None,liu-song-6
dhowells,dhowells
dhowells,dhowells
dhowells,dhowells
None,None
None,None
mpe,mpe
dhowells,dhowells
olofj,olofj
olofj,olofj
arndb,olofj
tomba,tmlind
r-vignesh,broonie
brgl,broonie
rfmvh,rfmvh
None,None
None,None
None,None
None,None
grygoriyS,robherring
arnopo,robherring
matnyman,gregkh
matnyman,gregkh
khfeng,gregkh
None,gregkh
matnyman,gregkh
westeri,gregkh
gregkh,gregkh
ickle,ickle
mstsirkin,mstsirkin
mstsirkin,mstsirkin
davidhildenbrand,mstsirkin
None,None
None,None
tohojo,borkmann
arndb,borkmann
pchaigno,borkmann
pchaigno,borkmann
mwalle,mwalle
None,None
frno7,gregkh
None,None
MrVan,MrVan
None,None
fleitner,fleitner
hwang4canonical,tiwai
netanelbelgazal,davem330
davem330,davem330
None,davem330
None,davem330
None,davem330
None,davem330
davem330,davem330
None,davem330
None,davem330
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
axboe,axboe
None,None
None,None
arndb,arndb
None,None
None,None
arndb,arndb
morimoto,GustavoARSilva
lategoodbye,ffainelli
None,rostedt
None,rostedt
rostedt,rostedt
l1k,tiwai
tmlind,tmlind
grygoriyS,tmlind
mansr,tmlind
tmlind,tmlind
ebiggers,snitm
amir73il,amir73il
amir73il,amir73il
amir73il,amir73il
andy-shev,gregkh
groeck,gregkh
aiChaoSONG,broonie
cujomalainey,broonie
ktrzcinx,broonie
ktrzcinx,broonie
dbaluta,broonie
dragosht,broonie
dragosht,broonie
None,felipebalbi
None,gregkh
None,felipebalbi
None,felipebalbi
None,felipebalbi
jhovold,gregkh
jhovold,gregkh
jhovold,gregkh
jhovold,gregkh
jhovold,gregkh
jhovold,gregkh
skeggsb,skeggsb
Lyude,skeggsb
Lyude,skeggsb
Lyude,skeggsb
jwrdegoede,skeggsb
jwrdegoede,skeggsb
None,None
None,None
None,None
ffainelli,ffainelli
None,gregkh
bryanodonoghue,gregkh
None,gregkh
w-simon,gregkh
w-simon,gregkh
ickle,ickle
vsyrjala,vsyrjala
vsyrjala,vsyrjala
unerlige,unerlige
unerlige,unerlige
danvet,danvet
jhovold,gregkh
jhovold,gregkh
jhovold,gregkh
None,gregkh
bjh83,gregkh
None,gregkh
None,gregkh
linusw,gregkh
None,gregkh
fbarrat,mpe
groeck,gregkh
None,None
andersk,andersk
None,axboe
Minecrell,davem330
None,None
None,martinkpetersen
bvanassche,martinkpetersen
paulmenzel,martinkpetersen
JasonYanHw,martinkpetersen
sheebabcdns,martinkpetersen
None,martinkpetersen
None,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
roolebo,martinkpetersen
None,martinkpetersen
roolebo,martinkpetersen
None,None
None,martinkpetersen
None,martinkpetersen
None,martinkpetersen
None,martinkpetersen
dcaratti,davem330
WillLester,davem330
None,davem330
grygoriyS,davem330
davem330,davem330
torvalds,torvalds
lxbsz,idryomov
lxbsz,idryomov
torvalds,torvalds
ummakynes,ummakynes
takaswie,tiwai
takaswie,tiwai
torvalds,torvalds
larrystevenwise,dledford
larrystevenwise,dledford
chleroy,broonie
WillLester,broonie
freefall75,broonie
bpankajl,kees
bpankajl,kees
sch-m,davem330
bjh83,bjh83
bjh83,bjh83
None,None
idosch,davem330
idosch,davem330
lxin,davem330
None,None
ffainelli,ffainelli
None,ffainelli
None,krzk
krzk,krzk
gregkh,gregkh
mhiramat,mhiramat
mhiramat,mhiramat
mhiramat,mhiramat
mhiramat,mhiramat
mhiramat,mhiramat
None,krzk
None,davem330
None,davem330
ffainelli,ffainelli
davem330,davem330
olofj,olofj
WillLester,dledford
kdave,kdave
dhowells,dhowells
None,dhowells
ickle,ickle
None,ummakynes
ummakynes,ummakynes
ummakynes,ummakynes
ummakynes,ummakynes
ummakynes,ummakynes
ummakynes,ummakynes
None,ummakynes
sudeep-holla,sudeep-holla
sudeep-holla,sudeep-holla
jwrdegoede,andy-shev
jwrdegoede,andy-shev
jwrdegoede,andy-shev
andy-shev,andy-shev
andy-shev,andy-shev
cujomalainey,broonie
andy-shev,andy-shev
jwrdegoede,andy-shev
None,None
