user,author_login,committer_login
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
bonzini,135,701
bonzini,135,701
davem330,1159,7902
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
jstancek,6,3772
jahogan,1,701
jankara,98,214
yeyunfeng-dev,20,214
torvalds,2374,3772
torvalds,2374,3772
None,24699,295
None,24699,295
None,24699,295
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
masahir0y,495,401
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
mgrzeschik,3,7902
torvalds,2374,3772
torvalds,2374,3772
geertu,38,7902
liuhangbin,29,7902
haiyangz,20,7902
None,24699,7902
None,24699,7902
None,24699,7902
davem330,1159,7902
akiyano,17,7902
akiyano,17,7902
karstengr,17,7902
None,24699,7902
achantask,1,7902
xiaojiangfeng,19,7902
davem330,1159,7902
julianwiedmann,155,7902
julianwiedmann,155,7902
julianwiedmann,155,7902
None,24699,1195
chelsiocudbg,15,7902
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
airlied,298,323
airlied,298,323
hdeller,65,131
None,24699,1195
None,24699,1195
None,24699,1195
hdeller,65,131
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
None,24699,203
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
andy-shev,382,360
metux,84,360
metux,84,360
None,24699,360
jwrdegoede,232,360
lsun100,4,360
None,24699,534
None,24699,59
None,24699,59
None,24699,59
None,24699,59
None,24699,59
nathanchance,125,59
None,24699,139
davidlt,10,139
greentime,4,139
None,24699,139
davem330,1159,7902
dcaratti,37,7902
dcaratti,37,7902
None,24699,7902
davem330,1159,7902
atenart,47,7902
atenart,47,7902
rostedt,78,295
quasi-mod,1,295
davem330,1159,7902
borkmann,165,911
borkmann,165,911
None,24699,911
torvalds,2374,3772
torvalds,2374,3772
djwong,180,534
djwong,180,534
djwong,180,534
djwong,180,534
None,24699,10749
None,24699,534
borkmann,165,911
None,24699,911
None,24699,911
None,24699,911
None,24699,911
yangbolu1991,42,298
None,24699,572
None,24699,572
torvalds,2374,3772
None,24699,86
WillLester,132,18
None,24699,10749
davem330,1159,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
XidianGeneral,29,7902
axboe,246,1195
groeck,158,4802
olofj,357,572
isilence,41,1195
torvalds,2374,3772
bonzini,135,701
None,24699,701
None,24699,701
rmurphy-arm,84,367
None,24699,203
LuBaolu,60,367
jerome-pouiller,44,4802
jerome-pouiller,44,4802
jerome-pouiller,44,4802
jerome-pouiller,44,4802
jerome-pouiller,44,4802
jerome-pouiller,44,4802
jerome-pouiller,44,4802
jerome-pouiller,44,4802
jerome-pouiller,44,4802
jerome-pouiller,44,4802
masahir0y,495,401
None,24699,298
None,24699,298
yangbolu1991,42,298
None,24699,10749
None,24699,10749
ickle,928,1279
hogander-unikie,7,7902
jahurley,52,7902
bjdooks-ct,102,7902
olerem,25,7902
None,24699,7902
None,24699,7902
bwhacks,10,7902
marceloleitner,3,7902
None,24699,10749
None,24699,10749
changbindu,93,3772
yang-shi,24,3772
daxtens,15,3772
daxtens,15,3772
daxtens,15,3772
aryabinin,10,3772
paulusmack,27,93
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
robherring,196,453
davem330,1159,7902
IoanaCiornei,55,7902
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
djwong,180,534
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
zx2c4,16,4802
borkmann,165,911
rouming,5,1195
asfaca,10,4802
asfaca,10,4802
None,24699,4802
xiongzhongjiang,43,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
virtuoso,80,4802
tiwai,356,837
None,24699,4802
sudipm-mukherjee,15,4802
vingu-linaro,37,37
vingu-linaro,37,37
hnaz,30,4
hnaz,30,4
None,24699,10749
virtuoso,80,39
virtuoso,80,39
None,24699,10749
None,24699,10749
snits,12,367
snits,12,367
LuBaolu,60,367
None,24699,10749
metux,84,401
tchebb,1,401
awilliam,13,367
tstruk,7,86
tstruk,7,86
tstruk,7,86
rmurphy-arm,84,367
None,24699,367
None,24699,86
schnhrr,1,1
yghannam,38,37
koct9i,36,9
bjh83,20,4802
ian-abbott,30,4802
zeldin,1,1021
davem330,1159,7902
arndb,686,7902
fred1gao,13,13
snits,12,86
torvalds,2374,3772
Navidem,75,7902
ffainelli,169,7902
davem330,1159,7902
stefano-garzarella,38,7902
stefano-garzarella,38,7902
mikechristie,8,1195
htejun,81,1195
olofj,357,432
olofj,357,432
olofj,357,432
borkmann,165,911
torvalds,2374,3772
alexandrebelloni,292,572
jankara,98,132
eauger,14,3772
torvalds,2374,3772
emaste,2,2
emaste,2,2
sudipm-mukherjee,15,4
tiwai,356,837
ajdlinux,12,1021
davidhildenbrand,69,1021
chleroy,258,1021
chleroy,258,3233
mwalle,15,3233
akemnade,29,3233
TE-N-ShengjiuWang,39,3233
Faiz-Abbas,21,298
Villemoes,57,298
ChaotianJing,5,298
None,24699,298
Faiz-Abbas,21,298
pcercuei,130,856
mattrope,55,53
mattrope,55,53
ickle,928,1279
ickle,928,1279
None,24699,10749
None,24699,391
gregkh,569,4802
axboe,246,1195
goldelico,33,89
None,24699,214
phongt,12,214
tytso,39,214
torvalds,2374,3772
bgianfo,1,1195
torvalds,2374,3772
torvalds,2374,3772
svenschnelle,38,131
svenschnelle,38,131
None,24699,276
torvalds,2374,3772
cristibirsan,4,276
vishalsdk,18,276
None,24699,276
None,24699,276
None,24699,276
kuba-moo,270,276
TaeheeYoo,44,276
TaeheeYoo,44,276
TaeheeYoo,44,276
TaeheeYoo,44,276
None,24699,276
torvalds,2374,3772
None,24699,214
None,24699,214
tytso,39,214
jankara,98,214
jankara,98,214
kuba-moo,270,276
None,24699,276
None,24699,276
torvalds,2374,3772
arndb,686,276
arndb,686,276
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
haiyangz,20,276
torvalds,2374,3772
None,24699,276
kuba-moo,270,276
tiwai,356,837
tiwai,356,837
tiwai,356,837
tiwai,356,837
tiwai,356,837
None,24699,118
gabbayo,95,118
None,24699,4802
masahir0y,495,401
masahir0y,495,401
masahir0y,495,401
tpimh,2,401
None,24699,276
None,24699,276
None,24699,276
None,24699,276
None,24699,276
None,24699,276
liuhangbin,29,276
arndb,686,276
None,24699,276
lmb,8,6
vivien,73,276
None,24699,276
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
fbarrat,5,1021
chleroy,258,1021
olofj,357,432
asj,39,767
josefbacik,119,767
josefbacik,119,767
josefbacik,119,767
josefbacik,119,767
fdmanana,81,767
fdmanana,81,767
fdmanana,81,767
fdmanana,81,767
None,24699,767
kdave,241,767
None,24699,767
josefbacik,119,767
josefbacik,119,767
josefbacik,119,767
None,24699,10749
fdmanana,81,767
None,24699,767
None,24699,1021
srikard,6,1021
srikard,6,1021
None,24699,856
linusw,372,856
atorgue,22,856
tohojo,53,391
None,24699,10749
None,24699,391
stbuehler,14,391
frolswe,1,391
jgross1,23,59
None,24699,59
piastry,59,59
None,24699,10749
airlied,298,323
airlied,298,323
airlied,298,323
TinaZhangZW,5,4
None,24699,10749
bebarino,238,572
jeromebrunet,195,572
None,24699,453
robherring,196,453
None,24699,453
yishaih,43,199
yishaih,43,199
ebiggers,284,86
ebiggers,284,86
eballetbo,68,434
None,24699,10749
None,24699,10749
maorgmellanox,21,199
paravmellanox,109,199
None,24699,199
None,24699,7902
cristibirsan,4,7902
torvalds,2374,3772
None,24699,10749
None,24699,10749
olofj,357,432
None,24699,10749
None,24699,10749
None,24699,1195
None,24699,10749
tmlind,227,368
amboar,57,856
lsgunth,56,1195
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,4802
Leo-Yan,51,4802
None,24699,4802
willdeacon,102,291
None,24699,4802
None,24699,4802
None,24699,4802
krzk,230,4802
groeck,158,16
zx2c4,16,1079
airlied,298,323
davem330,1159,7902
axboe,246,1195
airlied,298,323
cdleonard,70,51
torvalds,2374,3772
cdleonard,70,51
cdleonard,70,51
mwalle,15,2
djbw,91,154
DanielTimLee,27,10
torvalds,2374,3772
DanielTimLee,27,10
None,24699,10749
None,24699,10749
axboe,246,1195
None,24699,534
None,24699,534
torvalds,2374,3772
torvalds,2374,3772
torvalds,2374,3772
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
heicarst,46,106
None,24699,10749
ColinIanKing,589,120
None,24699,10749
None,24699,97
ZhiqiangLiu26,4,97
None,24699,97
dhowells,252,249
dhowells,252,249
dhowells,252,249
None,24699,10749
None,24699,10749
mpe,86,1021
dhowells,252,249
olofj,357,432
olofj,357,432
arndb,686,432
tomba,54,368
r-vignesh,24,3233
brgl,206,3233
rfmvh,2,2
None,24699,10749
None,24699,10749
None,24699,10749
None,24699,10749
grygoriyS,54,453
arnopo,8,453
matnyman,21,4802
matnyman,21,4802
khfeng,54,4802
None,24699,4802
matnyman,21,4802
westeri,96,4802
gregkh,569,4802
ickle,928,1279
mstsirkin,22,80
mstsirkin,22,80
davidhildenbrand,69,80
None,24699,10749
None,24699,10749
tohojo,53,911
arndb,686,911
pchaigno,6,911
pchaigno,6,911
mwalle,15,2
None,24699,10749
frno7,4,4802
None,24699,10749
MrVan,42,21
None,24699,10749
fleitner,6,1
hwang4canonical,26,837
netanelbelgazal,1,7902
davem330,1159,7902
None,24699,7902
None,24699,7902
None,24699,7902
None,24699,7902
davem330,1159,7902
None,24699,7902
None,24699,7902
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
axboe,246,1195
None,24699,10749
None,24699,10749
arndb,686,539
None,24699,10749
None,24699,10749
arndb,686,539
morimoto,543,158
lategoodbye,68,89
None,24699,295
None,24699,295
rostedt,78,295
l1k,36,837
tmlind,227,368
grygoriyS,54,368
mansr,19,368
tmlind,227,368
ebiggers,284,169
amir73il,50,13
amir73il,50,13
amir73il,50,13
andy-shev,382,4802
groeck,158,4802
aiChaoSONG,1,3233
cujomalainey,18,3233
ktrzcinx,2,3233
ktrzcinx,2,3233
dbaluta,55,3233
dragosht,7,3233
dragosht,7,3233
None,24699,18
None,24699,4802
None,24699,18
None,24699,18
None,24699,18
jhovold,139,4802
jhovold,139,4802
jhovold,139,4802
jhovold,139,4802
jhovold,139,4802
jhovold,139,4802
skeggsb,70,133
Lyude,87,133
Lyude,87,133
Lyude,87,133
jwrdegoede,232,133
jwrdegoede,232,133
None,24699,10749
None,24699,10749
None,24699,10749
ffainelli,169,89
None,24699,4802
bryanodonoghue,6,4802
None,24699,4802
w-simon,89,4802
w-simon,89,4802
ickle,928,1279
vsyrjala,405,411
vsyrjala,405,411
unerlige,4,2
unerlige,4,2
danvet,241,334
jhovold,139,4802
jhovold,139,4802
jhovold,139,4802
None,24699,4802
bjh83,20,4802
None,24699,4802
None,24699,4802
linusw,372,4802
None,24699,4802
fbarrat,5,1021
groeck,158,4802
None,24699,10749
andersk,1,1
None,24699,1195
Minecrell,29,7902
None,24699,10749
None,24699,1435
bvanassche,301,1435
paulmenzel,5,1435
JasonYanHw,21,1435
sheebabcdns,1,1435
None,24699,1435
None,24699,1435
roolebo,13,1435
roolebo,13,1435
roolebo,13,1435
roolebo,13,1435
roolebo,13,1435
roolebo,13,1435
roolebo,13,1435
roolebo,13,1435
roolebo,13,1435
roolebo,13,1435
roolebo,13,1435
None,24699,1435
roolebo,13,1435
None,24699,10749
None,24699,1435
None,24699,1435
None,24699,1435
None,24699,1435
dcaratti,37,7902
WillLester,132,7902
None,24699,7902
grygoriyS,54,7902
davem330,1159,7902
torvalds,2374,3772
lxbsz,9,196
lxbsz,9,196
torvalds,2374,3772
ummakynes,131,412
